,start_lat,start_lng,end_lat,end_lng
0,29.456915,-98.674567,29.43277,-98.48284
1,29.435907,-98.691461,29.460005,-98.670725
2,29.314874,-98.384354,29.444857,-98.665654
3,29.450487,-98.682075,29.314866,-98.384366
4,29.4891,-98.622475,29.470984,-98.621434
5,29.471168,-98.621349,29.526418,-98.472111
6,29.523555,-98.476275,29.528109000000004,-98.474029
7,29.521884000000004,-98.476722,29.519017,-98.495108
8,29.450574,-98.68339,29.510844,-98.549362
9,29.435632,-98.691168,29.419558,-98.806592
10,29.450358,-98.682189,29.358737,-98.477775
11,29.358743,-98.477775,29.445045,-98.665953
12,29.375138,-98.455776,29.375158000000003,-98.455788
13,29.375153000000005,-98.455847,29.438412,-98.483816
14,29.438622,-98.484062,29.437835,-98.654004
15,29.516704,-98.598411,29.489934,-98.568129
16,29.450365,-98.682105,29.518108,-98.599474
17,29.48856,-98.447054,29.449881,-98.683824
18,29.48858,-98.447069,29.488568,-98.447017
19,29.518969,-98.461319,29.518969,-98.461324
20,29.576206,-98.597344,29.440058,-98.523184
21,29.439865,-98.523251,29.493497,-98.373229
22,29.493682,-98.373195,29.444285,-98.664803
23,29.450417,-98.682136,29.509322,-98.383337
24,29.515009000000003,-98.395979,29.42162,-98.409368
25,29.444671000000003,-98.476666,29.457029,-98.636656
26,29.647814,-98.426558,29.444153000000004,-98.476391
27,29.5188,-98.57407,29.646264,-98.426777
28,29.490192,-98.621861,29.518818,-98.574081
29,29.443497,-98.479235,29.393139,-98.404295
30,29.393139,-98.404294,29.444792,-98.665332
31,29.449076,-98.685157,29.517458,-98.753349
32,29.517276000000003,-98.753026,29.462617,-98.690514
33,29.473736,-98.549254,29.435411,-98.52711
34,29.495032,-98.550819,29.508551,-98.590089
35,29.505415000000003,-98.585426,29.495579,-98.578591
36,29.493751,-98.570641,29.446777,-98.515028
37,29.445442,-98.515041,29.412054,-98.703307
38,29.4415,-98.666973,29.51348,-98.576689
39,29.512766,-98.569896,29.52099,-98.483067
40,29.520998,-98.48308,29.517008,-98.5268
41,29.45036,-98.682143,29.374013,-98.611947
42,29.434896,-98.690835,29.442448,-98.661375
43,29.442731,-98.661504,29.517907,-98.504348
44,29.571005,-98.517028,29.562599,-98.637487
45,29.571616,-98.516675,29.604975,-98.508362
46,29.490969,-98.709916,29.570267,-98.516334
47,29.514425,-98.47729,29.44496,-98.66586
48,29.451205,-98.682626,29.450523,-98.682241
49,29.421646000000003,-98.409941,29.516501,-98.478292
50,29.522678000000003,-98.476289,29.440522,-98.670896
51,29.48777,-98.525705,29.522678000000003,-98.476289
52,29.430847,-98.502349,29.431362,-98.50515
53,29.515032,-98.635104,29.431018,-98.502097
54,29.515102,-98.635085,29.515049,-98.635152
55,29.435635,-98.691392,29.424589,-98.488894
56,29.424676,-98.488913,29.377638,-98.458772
57,29.466815000000004,-98.621114,29.444065,-98.479154
58,29.436142,-98.49578,29.470067,-98.619681
59,29.354142,-98.493322,29.435522,-98.495709
60,29.450643,-98.683338,29.354155,-98.493325
61,29.517167,-98.505068,29.444538,-98.665169
62,29.435473,-98.691053,29.603240000000003,-98.596485
63,29.591202000000003,-98.588031,29.575026,-98.596484
64,29.450711,-98.683206,29.452471000000003,-98.482735
65,29.44246,-98.478631,29.520661,-98.476823
66,29.521491,-98.475845,29.551427,-98.541166
67,29.551429,-98.541161,29.541548,-98.528103
68,29.541663,-98.528159,29.446841,-98.674365
69,29.565449,-98.587736,29.444866,-98.665686
70,29.459514,-98.665413,29.565739,-98.58755
71,29.523636,-98.599123,29.458665000000003,-98.663841
72,29.450651,-98.68342,29.523997,-98.60092
73,29.521539,-98.484552,29.436021000000004,-98.687057
74,29.45051,-98.683335,29.555468,-98.404067
75,29.450688,-98.683135,29.538436,-98.5861
76,29.538475,-98.586076,29.599273,-98.279335
77,29.599274,-98.279335,29.505876,-98.545557
78,29.523554,-98.476241,29.519849,-98.57179
79,29.505828,-98.458719,29.605343,-98.506362
80,29.435785,-98.691378,29.523626,-98.45322
81,29.519016,-98.494876,29.444012,-98.66444
82,29.435843,-98.691386,29.520713,-98.506468
83,29.470447,-98.621214,29.435581,-98.708463
84,29.450654,-98.683458,29.470041,-98.621298
