start_time,duration,start_lat,start_lng,end_lat,end_lng
2021-09-14 20:06:57 UTC,2.067222,29.435288,-98.689173,29.536882,-98.52261
2021-08-25 21:46:35 UTC,3.051111,29.589127,-98.622194,29.402338,-98.510157
2021-08-25 21:06:04 UTC,0.080556,29.531697,-98.496517,29.512041,-98.53458
2021-08-25 21:00:53 UTC,0.083889,29.53756,-98.490436,29.531704,-98.496514
2021-08-25 19:25:50 UTC,1.166389,29.428396,-98.524946,29.443699,-98.477564
2021-08-25 17:09:11 UTC,2.159167,29.435746,-98.691452,29.427947,-98.524257
2021-11-11 00:12:32 UTC,1.909722,29.450615,-98.683094,29.609436,-98.47773
2021-11-11 02:13:24 UTC,0.046667,29.609467,-98.47703,29.609454,-98.477085
2021-11-11 02:16:18 UTC,0.670833,29.609454,-98.477085,29.534138,-98.495739
2021-11-11 03:00:52 UTC,2.132778,29.531454,-98.497292,29.604585,-98.558876
2021-11-11 05:17:02 UTC,1.624444,29.604875,-98.56574,29.540611,-98.38267
2021-11-11 06:54:43 UTC,0.331389,29.540611,-98.38267,29.512227,-98.535629
2021-11-11 07:26:37 UTC,0.108611,29.496168,-98.554749,29.459794,-98.624579
2021-11-11 22:59:11 UTC,0.620556,29.435755,-98.69145,29.555485,-98.611931
2021-11-11 23:41:48 UTC,0.931944,29.55673,-98.614617,29.5098,-98.577936
2021-10-06 03:33:21 UTC,1.591389,29.441325,-98.485787,29.52137,-98.476324
2021-10-06 05:14:18 UTC,0.471944,29.521172,-98.476294,29.368621,-98.468168
2021-10-06 19:45:19 UTC,0.111389,29.435432,-98.690472,29.442738,-98.664464
2021-10-06 19:57:08 UTC,0.016667,29.442738,-98.664464,29.442025,-98.663548
2021-10-06 20:10:27 UTC,3.854167,29.442051,-98.663622,29.44465,-98.663113
2021-07-07 20:28:43 UTC,2.831667,29.435473,-98.691053,29.60324,-98.596485
2021-07-07 23:29:54 UTC,3.283611,29.591202,-98.588031,29.575026,-98.596484
2021-09-12 00:00:01 UTC,1.829444,29.450375,-98.682192,29.428354,-98.489735
2021-09-12 01:56:39 UTC,2.450556,29.433777,-98.48589,29.551223,-98.565106
2021-09-12 04:34:28 UTC,0.247222,29.548414,-98.575618,29.539828,-98.552984
2021-09-18 03:04:39 UTC,1.975278,29.450688,-98.681979,29.444161,-98.494157
2021-09-18 05:03:18 UTC,0.043056,29.444161,-98.494157,29.444161,-98.494157
2021-09-18 05:06:01 UTC,0.456944,29.444161,-98.494157,29.462447,-98.67363
2021-09-18 22:22:50 UTC,4.139167,29.435652,-98.691341,29.595588,-98.480572
2021-09-16 23:11:43 UTC,1.948611,29.541497,-98.582623,29.398283,-98.43745
2021-09-16 20:21:42 UTC,2.5375,29.435719,-98.691261,29.557134,-98.59097
2021-09-16 03:52:19 UTC,0.079444,29.498957,-98.550922,29.456878,-98.627016
2021-09-16 03:02:07 UTC,0.829722,29.521,-98.485487,29.504357,-98.550611
2021-11-10 02:04:25 UTC,0.113889,29.418493,-98.506145,29.406676,-98.575197
2021-11-10 00:45:12 UTC,1.309722,29.523148,-98.476242,29.419259,-98.505959
2021-11-10 00:08:28 UTC,0.531389,29.488387,-98.447458,29.523451,-98.476444
2021-06-29 00:35:29 UTC,2.059722,29.473736,-98.549254,29.435411,-98.52711
2021-06-29 02:59:48 UTC,1.274722,29.495032,-98.550819,29.508551,-98.590089
2021-06-29 04:17:40 UTC,0.191111,29.505415,-98.585426,29.495579,-98.578591
2021-06-29 04:36:24 UTC,0.1425,29.493751,-98.570641,29.446777,-98.515028
2021-06-29 04:45:04 UTC,1.239444,29.445442,-98.515041,29.412054,-98.703307
2021-06-29 18:36:18 UTC,1.093611,29.4415,-98.666973,29.51348,-98.576689
2021-06-29 20:00:45 UTC,1.469167,29.512766,-98.569896,29.52099,-98.483067
2021-06-29 21:29:06 UTC,0.147222,29.520998,-98.48308,29.517008,-98.5268
2021-11-18 20:51:36 UTC,2.791944,29.38022,-98.637474,29.468992,-98.598618
2021-11-18 20:28:55 UTC,0.364722,29.416895,-98.677778,29.381109,-98.638372
2021-11-18 04:01:55 UTC,3.338889,29.523058,-98.476344,29.424784,-98.667368
2021-11-18 02:47:41 UTC,1.034722,29.488507,-98.706021,29.520575,-98.510528
2021-11-18 02:22:48 UTC,0.118333,29.489936,-98.705967,29.488415,-98.705854
2021-11-18 01:30:28 UTC,0.770833,29.534631,-98.563761,29.489427,-98.706273
2021-09-19 02:58:00 UTC,3.81,29.549179,-98.509773,29.564939,-98.519175
2021-07-13 23:18:48 UTC,0.330833,29.565449,-98.587736,29.444866,-98.665686
2021-07-13 20:58:03 UTC,2.286667,29.459514,-98.665413,29.565739,-98.58755
2021-07-13 18:33:46 UTC,2.128611,29.523636,-98.599123,29.458665,-98.663841
2021-07-13 15:55:45 UTC,0.859722,29.450651,-98.68342,29.523997,-98.60092
2021-07-13 02:43:55 UTC,0.375,29.521539,-98.484552,29.436021,-98.687057
2021-10-25 17:41:34 UTC,4.451667,29.435935,-98.691291,29.513653,-98.591719
2021-10-25 22:08:49 UTC,1.859444,29.51465,-98.592192,29.409734,-98.495162
2021-07-21 18:44:35 UTC,3.401667,29.435843,-98.691386,29.520713,-98.506468
2021-07-09 03:52:19 UTC,0.255278,29.514425,-98.47729,29.44496,-98.66586
2021-07-09 04:10:46 UTC,0.000833,29.451205,-98.682626,29.450523,-98.682241
2021-07-09 03:35:47 UTC,0.2725,29.421646,-98.409941,29.516501,-98.478292
2021-08-26 01:04:20 UTC,1.541389,29.397894,-98.51506,29.460097,-98.588875
